--------- beginning of main
08-07 15:41:20.252 20053 27840 I Market-DownloadLimitSpeedManager: stopLimitSpeed
08-07 15:41:20.252 20053 27840 I Market-ThermalLimitSpeedManager: startLoopLimitSpeed() ----------
08-07 15:41:20.252 20053 27840 I Market-LimitSpeedManager: stopLimitSpeedNow() =========== 
08-07 15:41:20.256 20053 27840 I Market-RetrofitRequest: callEnd : https://app.market.xiaomi.com/apm/statistics/appactive
08-07 15:41:20.258 20053 27840 E Market-ReflectUtils: invokeObject com.android.org.bouncycastle.util.encoders.Base64.decode com.xiaomi.market.util.reflect.IllegalArgumentException
08-07 15:41:20.258 20053 27840 E Market-ConnectionRSA: get key exception : java.lang.NullPointerException: decrypt data is null
08-07 15:41:20.286 20053 27084 I Market-LocalAppManager: getUpdateInfoFromServer : middle
08-07 15:41:20.286 20053 27084 E Market-Client: isSupportChildMode, error: java.lang.NumberFormatException: For input string: ""
08-07 15:41:20.288 20053 27084 I Market-RetrofitRequest: callStart : https://updateinfo.market.xiaomi.com/apm/updateinfo/v2
08-07 15:41:20.289 20053 27084 I Market-RetrofitRequest: HeaderInterceptor : https://updateinfo.market.xiaomi.com/apm/updateinfo/v2
08-07 15:41:20.289 20053 27084 E Market-Client: isSupportChildMode, error: java.lang.NumberFormatException: For input string: ""
08-07 15:41:20.290 20053 27084 E Market-Client: isSupportChildMode, error: java.lang.NumberFormatException: For input string: ""
08-07 15:41:20.292 20053 27084 I Market-LimitSpeedManager: startLimitSpeedNow() ====== speed = 32768
08-07 15:41:20.294 20053 27084 I Market-DownloadLimitSpeedManager: startLimitSpeed success. Total count 1
08-07 15:41:20.295 20053 27084 I Market-RetrofitRequest: HeaderInterceptor : https://updateinfo.market.xiaomi.com/apm/updateinfo/v2
08-07 15:41:20.303  2474 15979 I ClipboardServiceI: checkProviderWakePathForClipboard: primaryClip is null
08-07 15:41:20.303  2474  7257 I MiuiNetworkPolicy: updateUidState uid = 10092, uidState = 5
08-07 15:41:20.304  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_group_config  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.307 14191 14518 I WakelockPolicyManager: setWakelockPolicy
08-07 15:41:20.317  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_group_config  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.320  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_group_config  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.322  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_tp_exclude  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.323  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_idle_config  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.325  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_idle_config  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 1000 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 1001 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 1002 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 1027 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 1068 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 1073 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 2000 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 6100 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 6101 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 6102 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 6110 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 6120 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10000 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10001 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10002 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10003 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10004 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10005 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10006 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10007 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10008 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10009 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10010 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10011 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10012 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10013 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10014 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10015 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10016 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10017 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10018 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10019 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10020 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10021 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10022 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10023 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10024 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10025 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10026 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10027 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10028 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10029 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10030 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10031 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10032 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10033 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10034 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10035 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10036 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10037 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10038 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10039 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10040 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10041 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10042 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10043 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10044 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10045 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10046 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10047 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10048 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10049 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10050 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10051 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10052 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10053 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10054 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10055 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10056 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10057 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10058 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10059 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10060 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10061 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10062 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10063 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10064 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10065 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10066 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10067 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10068 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10069 is unblock state
08-07 15:41:20.326 14191 14606 W WakelockManagerService: uid: 10070 is unblock state
08-07 15:41:20.326  7464  7482 I htmlviewercloudcontrol: isStagingEnv:false param =  fps_tp_exclude  uriMatch = 2, cluster: cn, version: 570181, traceId: 98011ebf371cd2558a85e5fe8d9c8b96, regId: +4z3RS85+e2U9l+sd6caQ/srGmJCsEbKpG1twyPn1K0CrNNyxYT/yAgGVxm5X+yC
08-07 15:41:20.327 14191 14606 W WakelockManagerService: uid: 10071 is unblock state
