--------- beginning of main
05-18 06:15:47.808   407   407 E adbd    : failed to connect to socket 'tcp:7336': Connection refused
05-18 06:15:47.846  1369 10139 I Icing   : Usage reports ok 0, Failed Usage reports 0, indexed 0, rejected 0
05-18 06:15:47.848  1369 10139 I Icing   : Indexing com.google.android.gms-apps from com.google.android.gms
05-18 06:15:47.857   407   407 E adbd    : failed to connect to socket 'tcp:7336': Connection refused
05-18 06:15:47.863  1369 10139 I Icing   : Indexing done com.google.android.gms-apps
05-18 06:15:47.906   407   407 E adbd    : failed to connect to socket 'tcp:7336': Connection refused
05-18 06:15:47.938  7281  7281 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():1961 
05-18 06:15:47.941  7281  7281 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
05-18 06:15:47.942  7281  7281 I GoogleInputMethodService: GoogleInputMethodService.onDestroy():889 
05-18 06:15:47.942  7281  7281 I GlobeKeyExtension: GlobeKeyExtension.onDestroyExtension():120 
05-18 06:15:47.942  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module jzu is unavailable
05-18 06:15:47.942  7281  7281 I HardKeyTracker: HardKeyTracker.unregisterKeySequence():182 Unregister key sequence lxp{labelResId=2132020224, callback=bwh@7d23459, lastModifier=2, keyCodes=[47], actions=[0]}
05-18 06:15:47.942  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module dhj is unavailable
05-18 06:15:47.942  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module gjn is unavailable
05-18 06:15:47.943  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module klz is unavailable
05-18 06:15:47.943  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module kmd is unavailable
05-18 06:15:47.943  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module kme is unavailable
05-18 06:15:47.943  7281  7281 I ModuleManager: ModuleManager$ModuleInitListener.maybeUnloadModuleOnUnavailable():1350 module kmf is unavailable
